Seed,Model_type,Model,Domain,PCA,RMSE,MAE
0,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0, 'verbose': 0}",True,True,15033.052856029119,8427.508392857144
0,XGB,"{'learning_rate': 0.01, 'loss': 'absolute_error', 'max_depth': 8, 'min_samples_split': 4, 'n_estimators': 80, 'random_state': 0, 'verbose': 0}",True,True,15961.490255106979,8675.656262921453
0,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",True,True,20090.347168869986,16632.846396269946
0,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,True,23162.86350638749,18448.091979064597
0,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 2, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 10, 'random_state': 0, 'verbose': 0}",True,False,14550.645526967824,8163.1644642857145
0,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 0.5, 'n_estimators': 25, 'random_state': 0, 'verbose': 0}",True,False,13808.256326845967,6927.002589214239
0,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (32, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",True,False,24809.867019025052,17585.316297082205
0,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,False,62155.43961381413,32909.760643500595
0,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1, 'random_state': 0, 'verbose': 0}",False,True,83607.69213269463,26499.316071428573
0,XGB,"{'learning_rate': 0.12, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_split': 0.5, 'n_estimators': 100, 'random_state': 0, 'verbose': 0}",False,True,80910.44869129868,20515.33382627817
0,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",False,True,81003.60973116082,25938.577258291458
0,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,True,80524.08853409009,22336.9515496293
0,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1, 'random_state': 0, 'verbose': 0}",False,False,81996.33206324853,21593.873214285715
0,XGB,"{'learning_rate': 0.14, 'loss': 'absolute_error', 'max_depth': 8, 'min_samples_split': 2, 'n_estimators': 80, 'random_state': 0, 'verbose': 0}",False,False,79330.25594844134,18148.754323178106
0,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",False,False,80259.29892004831,24331.334493932332
0,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,False,82235.8089699053,28949.22201595388
1,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 5, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 1, 'verbose': 0}",True,True,12088.593835134014,6561.1022619047635
1,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 1, 'verbose': 0}",True,True,12308.960076468327,5981.556355548751
1,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 16), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",True,True,30018.858839331213,17539.286794144085
1,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,True,51307.46958686024,32879.607494483964
