Seed,Model_type,Model,Domain,PCA,RMSE,MAE
0,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0, 'verbose': 0}",True,True,954.5455048707549,497.587107142857
0,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 0, 'verbose': 0}",True,True,989.6499791916773,504.55438688144784
0,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",True,True,988.6680669727638,639.011756834809
0,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,True,939.0836949983045,739.32888992421
0,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 0, 'verbose': 0}",True,False,938.915779635061,464.7364285714286
0,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 0, 'verbose': 0}",True,False,554.9498824331279,365.700560387923
0,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",True,False,849.4981335902501,640.2678687261975
0,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,False,2120.049918741504,1390.7880557693456
0,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 15, 'random_state': 0, 'verbose': 0}",False,True,3505.669663893777,1110.2293333333334
0,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 8, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 0, 'verbose': 0}",False,True,3460.1141749925364,1087.2289868472883
0,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 16), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",False,True,3081.8256249001565,1099.6890152585927
0,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",False,True,3175.5883934400567,890.766830343309
0,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1, 'random_state': 0, 'verbose': 0}",False,False,3597.4836096861814,1178.0625
0,XGB,"{'learning_rate': 0.13, 'loss': 'squared_error', 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 0, 'verbose': 0}",False,False,3374.3014227355056,886.0382473507069
0,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",False,False,3265.8617903893737,1170.0884198428855
0,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",False,False,3178.0610462899754,1122.2582285855256
1,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 1, 'verbose': 0}",True,True,779.8801810602112,602.2029523809524
1,XGB,"{'learning_rate': 0.14, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 3, 'n_estimators': 80, 'random_state': 1, 'verbose': 0}",True,True,793.919540232659,526.5397206823902
1,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",True,True,1067.761418631216,768.533134304048
1,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,True,2046.6385799125223,1306.8094616377427
1,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 1, 'verbose': 0}",True,False,662.4630782211116,444.7294761904763
1,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 1, 'verbose': 0}",True,False,410.6192325382423,233.78464902531383
1,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",True,False,1434.2987873558188,1051.0866830329599
1,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,False,4491.411723885431,2704.5097570391004
1,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 1, 'verbose': 0}",False,True,1243.722413612617,656.7078214285714
1,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 8, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 1, 'verbose': 0}",False,True,811.6049199425352,410.04117812380525
1,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",False,True,4216.792375142108,1757.9401975365968
1,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,True,5714.930339288552,2048.754629013586
1,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 1, 'verbose': 0}",False,False,725.4171116838327,436.94242857142854
1,XGB,"{'learning_rate': 0.13, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_split': 3, 'n_estimators': 25, 'random_state': 1, 'verbose': 0}",False,False,1804.9796302570978,738.0470780744881
1,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",False,False,4043.650146196166,1953.1816803333238
1,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",False,False,8922.550148323975,3056.314032071543
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 2, 'verbose': 0}",True,True,1411.0576166719773,798.0588571428572
2,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 2, 'verbose': 0}",True,True,866.0873337343477,538.5706421685549
2,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",True,True,3660.5722025810537,1541.0652723135065
2,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",True,True,5966.242269416353,2036.9468474397665
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 15, 'random_state': 2, 'verbose': 0}",True,False,1138.048809748259,638.5671904761904
2,XGB,"{'learning_rate': 0.13, 'loss': 'squared_error', 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 2, 'verbose': 0}",True,False,1942.9451446058079,810.6092076783618
2,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (16, 4), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",True,False,2250.88212725591,1200.07977766293
2,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,False,5974.442135575414,2354.703710639146
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 2, 'verbose': 0}",False,True,832.1783944841051,573.793738095238
2,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 80, 'random_state': 2, 'verbose': 0}",False,True,1057.7354409990285,612.6985146966881
2,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",False,True,3938.373563900159,1557.1459407716586
2,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,True,5892.999431726168,1835.705359387577
2,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 2, 'verbose': 0}",False,False,1204.217954162843,761.1882142857145
2,XGB,"{'learning_rate': 0.12, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_split': 0.5, 'n_estimators': 100, 'random_state': 2, 'verbose': 0}",False,False,2197.17910413924,818.9611516490785
2,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 16), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",False,False,4331.660833617629,1724.709055424999
2,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,False,7657.076979297721,2452.8118021947744
3,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 5, 'random_state': 3, 'verbose': 0}",True,True,3323.440365797983,974.8942857142857
3,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 3, 'verbose': 0}",True,True,3383.9356226168256,887.0773458899966
3,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",True,True,2783.1811276884227,1016.3859981013744
3,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,True,3128.7882154333047,932.3668205968681
3,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 10, 'random_state': 3, 'verbose': 0}",True,False,3269.462765274912,934.6677142857144
3,XGB,"{'learning_rate': 0.14, 'loss': 'squared_error', 'max_depth': 4, 'min_samples_split': 0.5, 'n_estimators': 80, 'random_state': 3, 'verbose': 0}",True,False,3126.215866624021,837.0538124847723
3,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (32, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",True,False,2974.330364283044,994.3746359667397
3,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,False,3001.208745820597,1021.7751383895081
3,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 5, 'random_state': 3, 'verbose': 0}",False,True,3368.4804863515456,1125.6997142857142
3,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 8, 'min_samples_split': 3, 'n_estimators': 80, 'random_state': 3, 'verbose': 0}",False,True,3350.1262625092468,1032.5883796290443
3,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 16), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",False,True,3275.68712015143,1104.227374493709
3,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,True,3107.5754609534874,914.6712217286482
3,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 1, 'random_state': 3, 'verbose': 0}",False,False,3525.370468960876,1433.4192857142857
3,XGB,"{'learning_rate': 0.14, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_split': 0.5, 'n_estimators': 50, 'random_state': 3, 'verbose': 0}",False,False,3330.6562543336922,941.436677712275
3,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",False,False,3247.801587981383,1099.0952452221738
3,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,False,3114.4622023028455,1023.1783310768977
4,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 4, 'verbose': 0}",True,True,1219.890642855568,723.5094285714287
4,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 4, 'verbose': 0}",True,True,1106.0675680797815,614.6238889544871
4,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",True,True,1158.6876280100828,843.1526738240158
4,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,True,1340.1930681490405,899.8216476139092
4,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1, 'random_state': 4, 'verbose': 0}",True,False,1409.8509270575382,838.6889285714286
4,XGB,"{'learning_rate': 0.14, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 4, 'verbose': 0}",True,False,803.5312015115622,405.2936180347441
4,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",True,False,1148.7462521053412,708.9047539652984
4,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",True,False,3062.222890865389,1677.0382006514303
4,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 10, 'random_state': 4, 'verbose': 0}",False,True,3341.204925463011,1048.069142857143
4,XGB,"{'learning_rate': 0.14, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 4, 'n_estimators': 25, 'random_state': 4, 'verbose': 0}",False,True,3414.2159994766157,1026.889736613609
4,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",False,True,2952.6550730926974,867.53363680329
4,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",False,True,3036.279471350476,931.8827725569112
4,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 15, 'random_state': 4, 'verbose': 0}",False,False,3235.4069027415026,948.4350952380953
4,XGB,"{'learning_rate': 0.12, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_split': 0.5, 'n_estimators': 25, 'random_state': 4, 'verbose': 0}",False,False,3209.2148970646413,837.3564567260293
4,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",False,False,3318.261519496592,1160.5746378138012
4,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",False,False,2879.784048026942,1105.432252277907
5,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 4, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1, 'random_state': 5, 'verbose': 0}",True,True,2975.578613124801,1141.23
5,XGB,"{'learning_rate': 0.12, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_split': 0.5, 'n_estimators': 100, 'random_state': 5, 'verbose': 0}",True,True,3349.562089765046,1086.1807891571996
5,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",True,True,3195.968601828315,1156.6981124532383
5,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,True,3184.369773692478,1025.3996148710035
5,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 10, 'random_state': 5, 'verbose': 0}",True,False,3473.9512804574206,1136.9005357142858
5,XGB,"{'learning_rate': 0.14, 'loss': 'squared_error', 'max_depth': 4, 'min_samples_split': 0.5, 'n_estimators': 100, 'random_state': 5, 'verbose': 0}",True,False,3191.730855924692,875.9498491899641
5,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",True,False,3277.9330913737235,1051.37394773117
5,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,False,3614.879402443107,1536.413587879884
5,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 5, 'verbose': 0}",False,True,3415.736264502219,1255.0912142857144
5,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 5, 'verbose': 0}",False,True,3343.8426486964636,1175.4248217060176
5,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",False,True,3430.7901186373747,1468.9903716742228
5,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,True,3124.1538935142125,1167.2225211423481
5,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 50, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 10, 'random_state': 5, 'verbose': 0}",False,False,3326.5473575391256,1262.2663214285717
5,XGB,"{'learning_rate': 0.14, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_split': 0.5, 'n_estimators': 25, 'random_state': 5, 'verbose': 0}",False,False,3298.4730916590356,924.8932166008451
5,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",False,False,3205.6067508105775,1231.124721739847
5,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,False,3253.606058516489,1258.9497652106113
6,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 6, 'verbose': 0}",True,True,1218.3574806351849,770.8747142857145
