Seed,Model_type,Model,Domain,PCA,RMSE,MAE
0,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 0, 'verbose': 0}",TRUE,TRUE,10783.31864,5798.968234
0,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 0.5, 'n_estimators': 100, 'random_state': 0, 'verbose': 0}",TRUE,TRUE,10914.3462,5617.818589
0,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (32, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",TRUE,TRUE,11667.18898,6786.342933
0,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",TRUE,TRUE,10348.81882,5779.406793
0,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 0, 'verbose': 0}",TRUE,FALSE,10796.38177,5538.406786
0,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 0.5, 'n_estimators': 50, 'random_state': 0, 'verbose': 0}",TRUE,FALSE,10822.6168,5458.547876
0,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",TRUE,FALSE,11568.02376,6927.639563
0,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",TRUE,FALSE,15196.33111,9201.089145
0,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 2, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 1, 'random_state': 0, 'verbose': 0}",FALSE,TRUE,9586.98333,5291.394941
0,XGB,"{'learning_rate': 0.14, 'loss': 'absolute_error', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 0, 'verbose': 0}",FALSE,TRUE,9589.236805,5327.4271
0,MLP,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'adam'}",FALSE,TRUE,10385.64082,7319.007556
