Project,SonarQube_debt,Codiga_debt,CodeClimate_debt
ant-1.8,1431.033333,677.56,5595.5
antlr-3,934.4,737.0,5701.4
aoi-2.8,1606.3,702.66,10842.6
argouml,2277.266667,992.36,11998.6
aspectj,6653.583333,3144.5,67848.8
axion-1,320.85,197.36,1562.4
azureus,5155.616667,2916.1,30520.2
batik-1,2999.2,1436.56,12370.0
castor-,21213.08333,1155.66,5376.4
cayenne,2877.066667,830.26,10111.4
checkst,1560.35,285.06,6147.8
cobertu,669.4833333,585.8,1119.4
collect,889.0333333,252.06,8463.3
colt-1.,813.7833333,228.7,1351.7
columba,6836.966667,508.7,3164.8
compier,941.6,3558.4,2283.5
c_jdbc-,4372.433333,585.96,25209.0
derby-1,9504.9,4868.3,29667.6
display,219.9666667,87.66,466.7
drawswf,243.4666667,181.06,1301.3
drjava-,1330.216667,580.8,5440.9
emma-2.,255.8333333,228.06,1367.1
exoport,1232.216667,470.0,2659.5
findbug,1263.566667,769.06,6437.1
fitjava,540.95,26.46,371.0
fitlibr,541.7166667,105.6,1106.1
freecol,787.6666667,530.9,6128.9
freecs-,603.95,225.7,1981.4
freemin,806.2,335.9,2136.5
galleon,952.0666667,742.96,4427.0
ganttpr,508.15,280.5,1781.4
geotool,12857.53333,5761.0,47214.2
hadoop-,26240.56667,2679.96,30274.4
heritri,623.2,388.5,2696.1
hiberna,3305.083333,1410.9,8965.9
hsqldb-,3025.183333,1200.6,10690.0
htmluni,7968.133333,1374.8,1863.4
informa,3292.966667,56.96,398.1
iReport,2272.25,1206.16,14550.5
itext-5,942.9833333,491.96,6071.7
ivatagr,419.7666667,189.9,1843.3
jag-6.1,905.5333333,272.0,6674.1
james-2,581.1333333,228.7,2106.9
jasml-0,1597.916667,41.56,499.2
jasperr,44721.21667,758.0,11525.8
javacc-,736.9,191.06,1641.6
jboss-5,8956.466667,3007.4,14280.6
jchempa,2252.066667,110.36,1105.5
jedit-4,1365.783333,1558.96,6828.1
jena-2.,901.05,448.96,3149.2
jext-5.,788.9333333,416.16,3524.0
jFin_Da,1177.133333,36.26,218.3
jfreech,1401.366667,588.06,7644.3
jgraph-,4838.45,190.5,2331.9
jgraphp,339.7333333,148.96,1530.1
jgrapht,1840.066667,56.06,420.4
jgroups,1472.416667,493.8,3795.5
jhotdra,11935.56667,465.5,5577.8
jmeter-,544.7666667,409.76,3131.0
jmoney-,85.86666667,37.2,381.4
joggpla,6197.383333,199.2,1848.6
jparse-,2922.116667,209.16,1241.5
jpf-1.5,130.6,55.3,774.0
jrat-1-,745.8333333,221.76,3590.5
jre-1.6,15717.46667,6319.1,68209.4
jrefact,2234.483333,1064.7,12401.1
jruby-1,4610.0,18714.7,441152.9
jspwiki,565.6333333,341.86,2232.8
jsXe-04,1423.083333,170.2,1043.5
jtopen-,4641.3,2278.66,23648.4
jung-2.,490.5,213.26,1680.0
junit-4,49.25,30.3,84.1
log4j-2,280.5333333,169.7,1502.6
lucene-,4865.466667,1888.1,19238.4
marauro,109.4666667,80.46,511.0
maven-3,454.8333333,275.86,2497.8
megamek,2243.916667,1468.8,24310.5
mvnforu,2354.9,1136.86,9517.4
myfaces,2719.5,1164.2,41063.7
nakedob,1187.65,584.66,2765.7
nekohtm,1077.066667,53.16,446.0
openjms,327.8166667,204.86,1181.2
oscache,4010.966667,54.66,383.1
picocon,105.8666667,27.16,272.0
pmd-4.2,21051.11667,497.0,4275.0
poi-3.6,33047.63333,780.86,9121.2
pooka-3,680.7833333,359.26,3057.8
proguar,576.4166667,247.26,3294.3
quartz-,5535.066667,228.56,1715.9
quickse,2937.7,157.8,1079.4
quilt-0,2231.583333,49.56,205.5
roller-,938.7166667,665.16,17691.2
rssowl-,856.5833333,567.06,4441.2
sablecc,805.7,126.96,1866.3
sandmar,2178.616667,629.9,1087.1
springf,4019.083333,995.2,6138.8
squirre,59.88333333,29.86,247.2
struts-,9109.683333,871.36,20785.4
sunflow,165.1833333,118.5,2204.2
tapestr,968.3333333,302.3,1612.5
tomcat-,1548.966667,1115.8,12282.3
trove-2,6809.233333,17.9,153.5
velocit,5814.433333,267.86,2282.0
wct-1.5,9602.566667,186.9,2441.1
webmail,106.0666667,48.6,209.7
weka-3-,24019.16667,1580.2,21832.0
xalan-2,2043.733333,1046.26,13372.4
xerces-,1532.333333,916.5,11602.9
xmojo-5,2018.883333,36.36,0.0
